t,θ
0.000000000e0,0.000000000e0
1.001000000e-1,0.000000000e0
2.002000000e-1,0.000000000e0
3.003000000e-1,0.000000000e0
4.004000000e-1,0.000000000e0
5.005000000e-1,0.000000000e0
6.006000000e-1,0.000000000e0
7.007000000e-1,0.000000000e0
8.008000000e-1,0.000000000e0
9.009000000e-1,0.000000000e0
1.001000000e0,0.000000000e0
1.101211000e0,0.000000000e0
1.201311000e0,0.000000000e0
1.301411000e0,0.000000000e0
1.401511000e0,0.000000000e0
1.501611000e0,0.000000000e0
1.601711000e0,0.000000000e0
1.701811000e0,0.000000000e0
1.801911000e0,0.000000000e0
1.902011000e0,0.000000000e0
2.002111000e0,0.000000000e0
2.102211000e0,0.000000000e0
2.202311000e0,0.000000000e0
2.302411000e0,0.000000000e0
2.402511000e0,0.000000000e0
2.502611000e0,0.000000000e0
2.602822000e0,0.000000000e0
2.702934000e0,0.000000000e0
2.803034000e0,0.000000000e0
2.903134000e0,0.000000000e0
3.003234000e0,0.000000000e0
3.103334000e0,0.000000000e0
3.203434000e0,0.000000000e0
3.303534000e0,0.000000000e0
3.403634000e0,0.000000000e0
3.503734000e0,0.000000000e0
3.603834000e0,0.000000000e0
3.703934000e0,0.000000000e0
3.804034000e0,0.000000000e0
3.904134000e0,0.000000000e0
4.004234000e0,0.000000000e0
4.104334000e0,0.000000000e0
4.204434000e0,0.000000000e0
4.304534000e0,0.000000000e0
4.404634000e0,0.000000000e0
4.504734000e0,0.000000000e0
4.604945000e0,0.000000000e0
4.705056000e0,0.000000000e0
4.805167000e0,0.000000000e0
4.905267000e0,0.000000000e0
5.005367000e0,0.000000000e0
5.105467000e0,0.000000000e0
5.205567000e0,0.000000000e0
5.305667000e0,0.000000000e0
5.405767000e0,0.000000000e0
5.505867000e0,0.000000000e0
5.605967000e0,0.000000000e0
5.706067000e0,-9.763036973e0
5.806167000e0,-1.044390640e1
5.906267000e0,-1.274443198e1
6.006367000e0,-1.489223558e1
6.106467000e0,-1.670557940e1
6.206567000e0,-1.647281133e1
6.306667000e0,-1.951682457e1
6.406767000e0,-2.006663523e1
6.506867000e0,-2.194805184e1
6.607078000e0,-2.313845924e1
6.707189000e0,-2.219812473e1
6.807289000e0,-2.371812081e1
6.907389000e0,-2.510479161e1
7.007489000e0,-2.481394800e1
7.107589000e0,-2.721105860e1
7.207689000e0,-2.782155735e1
7.307789000e0,-2.908627612e1
7.407889000e0,-3.043694396e1
7.507989000e0,-3.057787683e1
7.608089000e0,-3.191232565e1
7.708189000e0,-3.119368790e1
7.808289000e0,-3.300393540e1
7.908389000e0,-3.344502991e1
8.008489000e0,-3.322688675e1
8.108589000e0,-3.484991022e1
8.208689000e0,-3.549157872e1
8.308789000e0,-3.416883055e1
8.408889000e0,-3.530113274e1
8.509100000e0,-3.637900748e1
8.609200000e0,-3.643297666e1
8.709300000e0,-3.745398095e1
8.809400000e0,-3.690750087e1
8.909500000e0,-3.862052004e1
9.009600000e0,-3.924922269e1
9.109700000e0,-4.093180382e1
9.209800000e0,-4.164559372e1
9.309900000e0,-4.146938462e1
9.410000000e0,-3.964281919e1
9.510100000e0,-4.020221569e1
9.610200000e0,-4.068908917e1
9.710300000e0,-4.127556909e1
9.810400000e0,-4.131386428e1
9.910500000e0,-4.099849041e1
1.001060000e1,-4.036808241e1
1.011070000e1,-4.270710514e1
1.021080000e1,-4.271185387e1
1.031090000e1,-4.335042290e1
